私募基金管理人名称,登记时间,登记编号
上海万丰友方投资管理有限公司,2014-03-17,P1000385
上海明河投资管理有限公司,2014-03-25,P1000651
上海彤源投资发展有限公司,2014-03-25,P1000266
北京和聚投资管理有限公司,2014-04-01,P1000273
上海和熙投资管理有限公司,2014-04-01,P1000684
上海弘尚资产管理中心（有限合伙）,2014-04-01,P1000677
上海申毅投资股份有限公司,2014-04-01,P1000404
上海六禾投资有限公司,2014-04-09,P1000298
悦达醴泉投资管理（上海）有限公司,2014-04-15,P1000558
上海恒基浦业资产管理有限公司,2014-04-17,P1000545
上海新方程股权投资管理有限公司,2014-04-21,P1000777
杭州华软新动力资产管理有限公司,2014-04-22,P1000997
三度星和（北京）投资有限公司,2014-04-22,P1001021
上海一村投资管理有限公司,2014-04-22,P1000869
深圳市明达资产管理有限公司,2014-04-22,P1000394
天津易鑫安资产管理有限公司,2014-04-22,P1000892
芜湖歌斐资产管理有限公司,2014-04-22,P1000902
中海外钜融资产管理集团有限公司,2014-04-22,P1001037
北京诚盛投资管理有限公司,2014-04-23,P1001209
北京睿策投资管理有限公司,2014-04-23,P1001200
长城（天津）股权投资基金管理有限责任公司,2014-04-23,P1001244
上海呈瑞投资管理有限公司,2014-04-23,P1001067
上海汇势通投资管理有限公司,2014-04-23,P1001198
上海茂典资产管理有限公司,2014-04-23,P1001203
顺时国际投资管理（北京）有限公司,2014-04-23,P1001220
北京东富汇通投资管理中心（有限合伙）,2014-04-29,P1001477
大连通和投资有限公司,2014-04-29,P1001395
兴业国信资产管理有限公司,2014-04-29,P1001644
上海同犇投资管理中心（有限合伙）,2014-05-04,P1001725
喆颢资产管理（上海）有限公司,2014-05-20,P1002228
北京汉和汉华资本管理有限公司,2014-05-26,P1002383
河南伊洛投资管理有限公司,2014-05-26,P1002417
利得资本管理有限公司,2014-05-26,P1002683
深圳市红筹投资有限公司,2014-05-26,P1002489
上海泓信投资管理有限公司,2014-06-04,P1003439
熵一资产管理（上海）有限公司,2014-06-04,P1003400
江苏金百灵资产管理有限责任公司,2014-08-14,P1004215
北京天星资本股份有限公司,2014-09-17,P1004739
北京天演资本管理有限公司,2014-10-23,P1004907
上海中民银孚投资管理有限公司,2014-11-26,P1005425
广东惠正投资管理有限公司,2014-12-12,P1005472
北京领瑞投资管理有限公司,2014-12-24,P1005562
上海宽德投资管理中心（有限合伙）,2014-12-24,P1005623
北京成阳资产管理有限公司,2015-01-07,P1006184
上海复熙资产管理有限公司,2015-01-07,P1006187
深圳市前海进化论资产管理有限公司,2015-01-07,P1006079
北京中融鼎新投资管理有限公司,2015-01-22,P1006507
南京盛泉恒元投资有限公司,2015-01-22,P1006545
上海千象资产管理有限公司,2015-01-28,P1006930
北京凤凰财富资产管理有限公司,2015-01-29,P1007324
宁波金戈量锐资产管理有限公司,2015-02-11,P1008220
上海希瓦资产管理有限公司,2015-02-11,P1008160
重庆信三威投资咨询中心（有限合伙）,2015-02-11,P1008352
北京橙叶投资基金管理有限公司,2015-02-15,P1008421
蓝石资产管理有限公司,2015-02-15,P1008445
上海大朴资产管理有限公司,2015-02-15,P1008404
深圳望正资产管理有限公司,2015-02-15,P1008520
北京恒宇天泽基金销售有限公司,2015-03-11,P1009036
堆龙航远创融创业投资管理有限公司,2015-03-25,P1009604
北京宏道投资管理有限公司,2015-04-10,P1010213
武汉昭融汇利投资管理有限责任公司,2015-04-10,P1010330
浙江善渊投资管理有限公司,2015-04-15,P1010570
观富（北京）资产管理有限公司,2015-05-28,P1014377
上海珠池资产管理有限公司,2015-05-28,P1014451
上海睿郡资产管理有限公司,2015-05-28,P1014376
北京泓澄投资管理有限公司,2015-06-05,P1015266
上海展弘投资管理有限公司,2015-06-11,P1015638
久泰蓝山（苏州）投资管理有限公司,2015-06-17,P1016073
平安资产管理有限责任公司,2015-06-17,P1015897
上海嘉恳资产管理有限公司,2015-07-23,P1019161
珠海横琴粤信资产管理有限公司,2015-07-30,P1019644
北京信弘天禾资产管理中心（有限合伙）,2015-08-06,P1019933
高维资产管理（上海）有限公司,2015-08-13,P1020504
广州国杰资产管理有限公司,2015-08-13,P1020411
上海斯诺波投资管理有限公司,2015-08-13,P1020627
东莞市惠丰资产管理有限公司,2015-08-26,P1021850
安徽中安资本管理有限公司,2015-09-02,P1022375
深圳前海无量资本管理有限公司,2015-09-02,P1022101
广州基岩资产管理有限公司,2015-09-10,P1022610
