私募基金管理人名称,登记时间,登记编号
广东睿璞投资管理有限公司,2015-09-11,P1022700
上海晅瀚资产管理中心（有限合伙）,2015-09-29,P1023715
寻常（上海）投资管理有限公司,2015-10-22,P1025396
量桥投资管理（上海）有限公司,2015-10-30,P1025719
宁波平方和投资管理合伙企业（有限合伙）,2015-10-30,P1025836
青海开创汇富特色产业投资基金管理有限公司,2015-11-05,P1026504
杭州遂玖资产管理有限公司,2015-11-12,P1026979
上海利位投资管理有限公司,2015-11-12,P1026638
珠海横琴万方资产管理合伙企业（有限合伙）,2015-11-18,P1027413
上海国花资产管理有限公司,2015-11-25,P1028084
广东君之健投资管理有限公司,2015-12-02,P1028445
深圳俾斯麦资本管理有限公司,2015-12-02,P1028349
广州市玄元投资管理有限公司,2015-12-09,P1029168
浙江白鹭资产管理股份有限公司,2016-01-14,P1030053
上海趣时资产管理有限公司,2016-04-27,P1031253
上海瞰瞻资产管理有限公司,2016-05-24,P1031452
上海于翼资产管理合伙企业（有限合伙）,2016-06-24,P1031848
深圳大禾投资管理有限公司,2016-06-24,P1031843
天津盈诚投资管理有限公司,2016-06-24,P1031855
上海通怡投资管理有限公司,2016-08-09,P1032800
北京贝泉投资管理有限公司,2017-02-22,P1061473
北京泰舜资产管理有限公司,2017-02-22,P1061472
北京汉富融信资产管理合伙企业（有限合伙）,2017-02-28,P1061609
上海桀新投资管理有限公司,2017-04-12,P1062219
上海致邃投资管理有限公司,2017-06-26,P1063212
上海君犀投资管理有限公司,2017-07-21,P1063782
上海启林投资管理有限公司,2017-08-29,P1064525
深圳前海国恩资本管理有限公司,2017-10-25,P1065467
浙江义乌市檀真投资管理合伙企业（有限合伙）,2017-11-09,P1065829
杭州源铨投资管理有限公司,2017-11-21,P1065855
上海枫时资产管理有限公司,2017-11-21,P1065848
杭州期盈投资管理有限公司,2018-02-11,P1067239
中京信（北京）资本管理有限公司,2018-03-16,P1067672
深圳齐兴资产管理有限公司,2018-05-14,P1068137
元胜投资管理（上海）有限公司,2018-06-29,P1068514
